ID,Cluster,domains,projects,availability,work_dist,mentoring,anti_pref
22,-1,Games,,"any time is fine for me, i can restructure my schedule accordingly",Consistent spread starting now,,
2,-1,"Games, simulations, anything full stack or with a UI",Not super specific but I love the idea of implementing RL to beat a game ,"Weekends, Tuesdays, Fridays all day",Consistent spread starting now,,
3,-1,"games, cities, planning, optimization, scheduling","1) Help people choose where they should look for apartments based on factors they input (like supermarkets, gyms, where work/school is, cost).  2) Admittedly not novel, but finding an optimal play approach for Ticket to Ride (so I can beat my friends from home next time I visit).","3-7 PM Monday, Wednesday
3-5 PM Thursday
4-7 PM Tuesday

Available many weekends ad-hoc, but will be away for at least 4 this semester, so not a good ""regular"" meeting time.",Consistent spread starting now,,
4,-1,"NLP, Finance, Transportation, Scheduling, Education",,"Weekday afternoons/evenings, Weekend morning/afternoons",Consistent spread starting now,,
5,-1,"games(like Texas holdíem, blackjack), planning, media",,All day evenings,Consistent spread starting now,,
6,-1,"NLP, CV, Games, Music and media, Planning",Computer Vision for Sign Language Translation.,more on weekends ,Consistent spread starting now,,
7,-1,"Computer Vision, Games, Robotics, Machine learning","AI Chatbot, Computer vision concepts on robots, ","weekday evenings ( monday & Wednesday )
Weekday mornings( Tuesday, Thursday, Friday )
Weekend mornings & Late nights",Consistent spread starting now,,
9,-1,"music, cooking, fashion",This might be a long shot and I have no clue how I'd do it but a music software that like reads your facial expressions or like you journal in and it recommends music based off that. ,"Weekends, tuesdays",Consistent spread starting now,,
10,-1,"Music and media, planning, design.","1. Use AI to find if a song was made of another song or even more than one song. Example from YouTube: https://www.youtube.com/shorts/y1byyOTQTrI 2. Application for finding the best interior details/furniture for the given room or a specific place in the room like a wall. If my wall is empty, I could use my camera for AI assistant to find the best interior solutions shelves, paintings, other decorations, from the valid websites with the prices. 3. Smart assistant for taking care of the notifications on your phone: if the notification is not important, then it will be skipped, if it is important - it will be shown. In the end of the day a client can see a summary of all the notifications.","Weekdays after classes, idealy Monday, Wednesday, Thursday from 11:30 am, Tuesday and Friday from 9:30 am. Evenings also work.",Consistent spread starting now,,
45,-1,"Shopping, Fashion, Video creation",Not yet,weekend mornings,Consistent spread starting now,,"24, 39"
11,-1,"Travel, videogames, films, music, reading",,"Monday (12-2:30pm, 7:30-11pm), Tuesday (12-5:30pm), Wednesday (12-2:30pm), Thursday and Friday from noon to 11pm, Saturday and Sunday all day",Consistent spread starting now,,
14,-1,"1. Military 
2. Motorcycles 
3. Malware - (AI-Assisted Automated Penetration Testing)
4. Powerlifting 
5. Anime",1. Weaponization/Military: AI-Assisted Drone Path Optimization for Reconnaissance/ AI-Powered Logistics & Supply Chain Optimization (essentially AI military strategy for battlefields) 2. AI-Based Smart Route Planning for Motorcyclists,Sunday Mornings,Consistent spread starting now,,
55,-1,"Embedded systems/ robotics, NLP, bioinformatics","Idea 1: I would like to work on a computer vision project- one idea is a program that is trained recognizes hand gestures to a camera to open and close a physical lock (I understand if hardware implementation part may be out of scope for this class). Idea 2: This idea is more broad, which uses NLP to analyze the tone of texts across different historical periods to study how language and sentiment evolve over time.","MWTh 1pm onwards (except 3-4 pm on Monday), TF anytime",Consistent spread starting now,,
16,-1,"Planning, optimization",,Weekdays,Consistent spread starting now,,
17,-1,"Computer vision, Music & media, Healthcare. - really flexible as long as the project has good learning potential.",,"friday, saturday, sunday, tuesday & thursday afternoon",Consistent spread starting now,,
18,-1,"Multi-Agent Systems, Computer Vision, Reinforcement Learning",,"Monday, Wednesday, Thursday afternoon or Weekend Afternoons.",Consistent spread starting now,Yes,
19,-1,"Computer Vision, NLP, Music & Media ",,"Weekday evenings, Tuesday and Friday Morning is Okay",Consistent spread starting now,,
20,-1,"music, photos & media
life areas (eg. garbage sorting, product classification)
games",,"weekday noons, evenings and weekends",Consistent spread starting now,,
21,-1,"Diet Plans(Health), Games, object detection and removal",Health - Make detailed Diet plans based on user's body weight and target weight. The system should make detailed plan of food items and when to consume it throughout the day. It also gives us its ingredients and its health benefits so users can understand why they are consuming it.,"weekday morning, all weekdays except Friday",Consistent spread starting now,,
12,-1,"AI in education, music and media, game",,afternoon and evenings,Consistent spread starting now,,
56,0,No preference,No preference,No preference,No preference,,
57,0,No preference,No preference,No preference,No preference,,
54,0,No preference,No preference,No preference,No preference,,
59,0,No preference,No preference,No preference,No preference,,
28,1,"1. Game
2. Robotics
3. Planning","I have some ideas about chess. For example, in any chess game, predicting the opponent's strategy and giving the optimal solution.",Weekday evenings and weekend afternoon,Consistent spread starting now,,
13,1,"music & media, robotics",Not yet,"weekday evenings, weekend mornings",Consistent spread starting now,,
1,1,"robotics, computer vision, deep learning, reinforcement learning","1) Build a robotic arm that uses computer vision and RL to assist with common tasks such as cooking, turning on the tv, grabbing an object, etc.. A core feature could be the ability for a user to be able to teach the robot tasks, and it will use RL to learn.","weekday evenings, weekend afternoons",Consistent spread starting now,Yes,
48,2,"Robotics, Healthcare, Planning, Media, Music, Games.",,weekday evenings,Consistent spread starting now,Yes,
49,2,"1. Computer Vision
2. Reinforcement Learning
3. Robotics",I would like to work on computer vision based reinforcement learning project,Weekday evenings,Consistent spread starting now,Yes,
40,2,"1. Games
2. Music
3. Robotics",,Weekdays Evenings,Consistent spread starting now,,
31,2,"Sports, Climate/Environment, healthcare, music, games, investing",,Weekday evenings,Consistent spread starting now,Yes,
58,2,"Finance and Trading, autonomous vehicle and robotics, personalized learning and education, games, music and media",,weekday evenings,Consistent spread starting now,,
23,2,"Music and media, Natural Language Processing, Reinforcement Learning, Planning",,Weekday Evenings.,Consistent spread starting now,,
15,2,"Games, Planning, Music & Media ","Nope, I am still thinking. ",weekday evenings,Consistent spread starting now,,
8,2,"Generative AI (SLM - Small language models), Autonomous Driving, Sensor-Based Applications.",A kind of SLM for Northeastern University.,Weekday Evenings.,Consistent spread starting now,,
42,2,"1. Music and Media.
2. Games.",Making a prediction model and a PowerBI dashboard based on the model by getting a dataset. (Example. Predicting Movie Success),Weekday evenings.,Consistent spread starting now,,
